individual,length.pike
400,71.07693
401,61.41286
402,63.04536
403,66.5563
404,51.74782
405,54.62359
406,54.15896
407,52.50815
408,51.01619
409,58.2833
410,66.99418
411,66.51013
412,45.25438
413,49.56691
414,54.53546
415,61.72325
416,67.04909
417,49.77444
418,52.45491
419,63.04403
420,62.40711
421,57.46633
422,62.01902
423,83.70501
424,53.25983
425,55.78563
426,72.08608
427,54.8093
428,41.75732
429,64.53439
430,52.24278
431,65.74976
432,38.9497
433,59.58107
434,67.71149
435,67.14566
436,55.14555
437,45.71097
438,61.72357
439,46.71955
440,42.7688
441,60.5095
442,69.15062
443,47.87445
444,49.60851
445,69.30903
446,44.80299
447,69.24533
448,71.86399
449,62.66603
450,75.40965
451,47.35528
452,72.5501
453,50.70017
454,61.24462
455,60.11914
456,49.29237
457,58.84884
458,66.21983
459,57.05881
460,64.5454
461,66.65669
462,60.21738
463,70.11756
464,57.17029
465,56.74264
466,53.48312
467,72.8406
468,63.86859
469,60.49398
470,61.94994
471,57.37827
472,66.09152
473,77.25898
474,78.42009
475,56.99713
476,73.08284
477,66.35482
478,54.96747
479,70.27337
480,61.20584
481,56.35081
482,67.77125
483,49.80071
484,65.86252
485,44.05603
486,36.05329
487,59.39932
488,62.7034
489,67.4657
490,52.45765
